2024-05-17 12:25:39,214 - Screen recording started
2024-05-17 12:25:39,821 - Firefox browser is not installed
2024-05-17 12:25:39,828 - Firefox history saved to C:\Users\DILEEBAN\PycharmProjects\cybersecurity\Logs\Browser_History\Firefox_history.txt
2024-05-17 12:25:45,622 - Chrome history saved to C:\Users\DILEEBAN\PycharmProjects\cybersecurity\Logs\Browser_History\Chrome_history.txt
2024-05-17 12:25:45,622 - Error fetching history from Safari: Safari browser is not supported on Windows
2024-05-17 12:25:45,622 - Brave browser is not installed
2024-05-17 12:25:45,683 - Brave history saved to C:\Users\DILEEBAN\PycharmProjects\cybersecurity\Logs\Browser_History\Brave_history.txt
2024-05-17 12:25:45,685 - Error fetching history from Opera: [WinError 2] The system cannot find the file specified: 'C:\\Users\\DILEEBAN\\AppData\\Roaming\\Opera Software\\Opera Stable\\History'
2024-05-17 12:25:49,100 - Edge history saved to C:\Users\DILEEBAN\PycharmProjects\cybersecurity\Logs\Browser_History\Edge_history.txt
2024-05-17 12:26:08,594 - Key.ctrl_l pressed
2024-05-17 12:26:08,600 - Key.ctrl_l pressed
2024-05-17 12:26:08,635 - Key.ctrl_l pressed
2024-05-17 12:26:08,666 - Key.ctrl_l pressed
2024-05-17 12:26:08,713 - Key.ctrl_l pressed
2024-05-17 12:26:08,736 - Key.ctrl_l pressed
2024-05-17 12:26:08,757 - Key.ctrl_l pressed
2024-05-17 12:26:08,817 - Key.ctrl_l pressed
2024-05-17 12:26:08,817 - Key.ctrl_l pressed
2024-05-17 12:26:08,848 - Key.ctrl_l pressed
2024-05-17 12:26:08,880 - Key.ctrl_l pressed
2024-05-17 12:26:08,942 - Key.ctrl_l pressed
2024-05-17 12:26:09,020 - Key.ctrl_l pressed
2024-05-17 12:26:09,020 - Key.ctrl_l pressed
2024-05-17 12:26:09,020 - Key.ctrl_l pressed
2024-05-17 12:26:09,036 - Key.ctrl_l pressed
2024-05-17 12:26:09,138 - Key.ctrl_l pressed
2024-05-17 12:26:09,169 - Key.ctrl_l pressed
2024-05-17 12:26:09,169 - Key.ctrl_l pressed
2024-05-17 12:26:09,169 - Key.ctrl_l pressed
2024-05-17 12:26:09,216 - Key.ctrl_l pressed
2024-05-17 12:26:09,267 - Key.ctrl_l pressed
2024-05-17 12:26:09,349 - Key.ctrl_l pressed
2024-05-17 12:26:09,396 - Key.ctrl_l pressed
2024-05-17 12:26:09,551 - Key.ctrl_l pressed
2024-05-17 12:26:09,579 -  pressed
2024-05-17 12:34:34,037 - Mouse moved to (46.17 cm, 2.12 cm)
2024-05-17 12:34:34,043 - Mouse moved to (46.12 cm, 2.12 cm)
2024-05-17 12:34:34,067 - Mouse moved to (46.12 cm, 2.14 cm)
2024-05-17 12:34:34,076 - Mouse moved to (46.04 cm, 2.20 cm)
2024-05-17 12:34:34,085 - Mouse moved to (45.93 cm, 2.25 cm)
2024-05-17 12:34:34,096 - Mouse moved to (45.72 cm, 2.35 cm)
2024-05-17 12:34:34,105 - Mouse moved to (45.38 cm, 2.54 cm)
2024-05-17 12:34:34,115 - Mouse moved to (44.95 cm, 2.70 cm)
2024-05-17 12:34:34,125 - Mouse moved to (44.24 cm, 3.02 cm)
2024-05-17 12:34:34,134 - Mouse moved to (43.07 cm, 3.62 cm)
2024-05-17 12:34:34,144 - Mouse moved to (41.80 cm, 4.39 cm)
2024-05-17 12:34:34,154 - Mouse moved to (40.30 cm, 5.45 cm)
2024-05-17 12:34:34,163 - Mouse moved to (38.87 cm, 6.59 cm)
2024-05-17 12:34:34,173 - Mouse moved to (37.44 cm, 7.62 cm)
2024-05-17 12:34:34,183 - Mouse moved to (36.14 cm, 8.65 cm)
2024-05-17 12:34:34,193 - Mouse moved to (34.90 cm, 9.74 cm)
2024-05-17 12:34:34,196 - Mouse moved to (33.76 cm, 10.90 cm)
2024-05-17 12:34:34,211 - Mouse moved to (32.78 cm, 11.91 cm)
2024-05-17 12:34:34,211 - Mouse moved to (31.96 cm, 12.75 cm)
2024-05-17 12:34:34,228 - Mouse moved to (31.33 cm, 13.44 cm)
2024-05-17 12:34:34,228 - Mouse moved to (30.74 cm, 14.13 cm)
2024-05-17 12:34:34,245 - Mouse moved to (30.48 cm, 14.53 cm)
2024-05-17 12:34:34,260 - Mouse moved to (30.27 cm, 14.92 cm)
2024-05-17 12:34:34,261 - Mouse moved to (30.14 cm, 15.29 cm)
2024-05-17 12:34:34,279 - Mouse moved to (30.06 cm, 15.53 cm)
2024-05-17 12:34:34,283 - Mouse moved to (30.06 cm, 15.69 cm)
2024-05-17 12:34:34,299 - Mouse moved to (30.06 cm, 15.74 cm)
2024-05-17 12:34:34,309 - Mouse moved to (30.06 cm, 15.77 cm)
2024-05-17 12:34:34,529 - Mouse moved to (30.06 cm, 15.85 cm)
2024-05-17 12:34:34,551 - Mouse moved to (30.00 cm, 15.98 cm)
2024-05-17 12:34:34,561 - Mouse moved to (29.98 cm, 16.14 cm)
2024-05-17 12:34:34,570 - Mouse moved to (29.92 cm, 16.43 cm)
2024-05-17 12:34:34,580 - Mouse moved to (29.84 cm, 16.70 cm)
2024-05-17 12:34:34,590 - Mouse moved to (29.77 cm, 17.04 cm)
2024-05-17 12:34:34,599 - Mouse moved to (29.69 cm, 17.41 cm)
2024-05-17 12:34:34,609 - Mouse moved to (29.55 cm, 17.83 cm)
2024-05-17 12:34:34,619 - Mouse moved to (29.37 cm, 18.34 cm)
2024-05-17 12:34:34,629 - Mouse moved to (29.24 cm, 18.76 cm)
2024-05-17 12:34:34,638 - Mouse moved to (29.02 cm, 19.26 cm)
2024-05-17 12:34:34,648 - Mouse moved to (28.81 cm, 19.95 cm)
2024-05-17 12:34:34,657 - Mouse moved to (28.57 cm, 20.53 cm)
2024-05-17 12:34:34,666 - Mouse moved to (28.39 cm, 21.09 cm)
2024-05-17 12:34:34,677 - Mouse moved to (28.15 cm, 21.70 cm)
2024-05-17 12:34:34,678 - Mouse moved to (28.02 cm, 22.01 cm)
2024-05-17 12:34:34,696 - Mouse moved to (27.89 cm, 22.36 cm)
2024-05-17 12:34:34,696 - Mouse moved to (27.81 cm, 22.62 cm)
2024-05-17 12:34:34,713 - Mouse moved to (27.78 cm, 22.62 cm)
2024-05-17 12:34:36,403 - Screen recording started
2024-05-17 12:34:37,033 - Firefox browser is not installed
2024-05-17 12:34:37,044 - Firefox history saved to C:\Users\DILEEBAN\PycharmProjects\cybersecurity\browser_histories\Firefox_history.txt
2024-05-17 12:34:41,287 - s pressed
2024-05-17 12:34:42,024 - Screenshot captured
2024-05-17 12:34:42,283 - Mouse moved to (27.75 cm, 22.62 cm)
2024-05-17 12:34:42,283 - Mouse moved to (27.65 cm, 22.62 cm)
2024-05-17 12:34:42,294 - Mouse moved to (27.54 cm, 22.60 cm)
2024-05-17 12:34:42,304 - Mouse moved to (27.30 cm, 22.49 cm)
2024-05-17 12:34:42,334 - Mouse moved to (26.93 cm, 22.38 cm)
2024-05-17 12:34:42,338 - Mouse moved to (25.69 cm, 22.07 cm)
2024-05-17 12:34:42,343 - Mouse moved to (24.69 cm, 21.70 cm)
2024-05-17 12:34:42,344 - Mouse moved to (23.50 cm, 21.35 cm)
2024-05-17 12:34:42,362 - Mouse moved to (22.41 cm, 21.03 cm)
2024-05-17 12:34:42,372 - Mouse moved to (21.38 cm, 20.85 cm)
2024-05-17 12:34:42,476 - Mouse moved to (20.19 cm, 20.45 cm)
2024-05-17 12:34:42,476 - Mouse moved to (13.15 cm, 18.44 cm)
2024-05-17 12:34:42,476 - Mouse moved to (12.91 cm, 18.31 cm)
2024-05-17 12:34:42,494 - Mouse moved to (12.67 cm, 18.20 cm)
2024-05-17 12:34:42,494 - Mouse moved to (12.44 cm, 18.04 cm)
2024-05-17 12:34:42,510 - Mouse moved to (12.30 cm, 17.89 cm)
2024-05-17 12:34:42,526 - Mouse moved to (12.17 cm, 17.78 cm)
2024-05-17 12:34:42,577 - Mouse moved to (12.14 cm, 17.70 cm)
2024-05-17 12:34:42,595 - Chrome history saved to C:\Users\DILEEBAN\PycharmProjects\cybersecurity\browser_histories\Chrome_history.txt
2024-05-17 12:34:42,596 - Error fetching history from Safari: Safari browser is not supported on Windows
2024-05-17 12:34:42,598 - Brave browser is not installed
2024-05-17 12:34:42,682 - Brave history saved to C:\Users\DILEEBAN\PycharmProjects\cybersecurity\browser_histories\Brave_history.txt
2024-05-17 12:34:42,694 - Error fetching history from Opera: [WinError 2] The system cannot find the file specified: 'C:\\Users\\DILEEBAN\\AppData\\Roaming\\Opera Software\\Opera Stable\\History'
2024-05-17 12:34:42,789 - Mouse moved to (12.06 cm, 17.65 cm)
2024-05-17 12:34:42,789 - Mouse moved to (11.99 cm, 17.59 cm)
2024-05-17 12:34:42,798 - Mouse moved to (11.80 cm, 17.41 cm)
2024-05-17 12:34:42,808 - Mouse moved to (11.46 cm, 17.14 cm)
2024-05-17 12:34:42,817 - Mouse moved to (10.95 cm, 16.88 cm)
2024-05-17 12:34:42,828 - Mouse moved to (10.40 cm, 16.40 cm)
2024-05-17 12:34:42,837 - Mouse moved to (9.53 cm, 15.85 cm)
2024-05-17 12:34:42,847 - Mouse moved to (8.76 cm, 15.24 cm)
2024-05-17 12:34:42,856 - Mouse moved to (7.94 cm, 14.58 cm)
2024-05-17 12:34:42,861 - Mouse moved to (7.14 cm, 13.89 cm)
2024-05-17 12:34:42,876 - Mouse moved to (6.35 cm, 13.23 cm)
2024-05-17 12:34:42,880 - Mouse moved to (5.71 cm, 12.51 cm)
2024-05-17 12:34:42,895 - Mouse moved to (5.05 cm, 11.83 cm)
2024-05-17 12:34:42,905 - Mouse moved to (4.29 cm, 10.90 cm)
2024-05-17 12:34:42,914 - Mouse moved to (3.68 cm, 10.37 cm)
2024-05-17 12:34:42,918 - Mouse moved to (3.25 cm, 9.87 cm)
2024-05-17 12:34:42,934 - Mouse moved to (2.94 cm, 9.58 cm)
2024-05-17 12:34:42,934 - Mouse moved to (2.70 cm, 9.37 cm)
2024-05-17 12:34:42,949 - Mouse moved to (2.51 cm, 9.31 cm)
2024-05-17 12:34:42,949 - Mouse moved to (2.35 cm, 9.31 cm)
2024-05-17 12:34:43,194 - Mouse moved to (2.35 cm, 9.31 cm)
2024-05-17 12:34:43,241 - Mouse moved to (2.49 cm, 9.66 cm)
2024-05-17 12:34:43,319 - Mouse moved to (3.33 cm, 11.06 cm)
2024-05-17 12:34:43,327 - Mouse moved to (3.36 cm, 11.11 cm)
2024-05-17 12:34:43,343 - Mouse moved to (3.36 cm, 11.17 cm)
2024-05-17 12:34:43,347 - Mouse moved to (3.36 cm, 11.22 cm)
2024-05-17 12:34:43,383 - Mouse moved to (3.36 cm, 11.24 cm)
2024-05-17 12:34:43,413 - Mouse moved to (3.36 cm, 11.27 cm)
2024-05-17 12:34:43,453 - Mouse moved to (3.36 cm, 11.27 cm)
2024-05-17 12:34:43,484 - Mouse moved to (3.47 cm, 11.51 cm)
2024-05-17 12:34:43,484 - Mouse moved to (3.49 cm, 11.56 cm)
2024-05-17 12:34:43,500 - Mouse moved to (3.55 cm, 11.67 cm)
2024-05-17 12:34:43,500 - Mouse moved to (3.60 cm, 11.72 cm)
2024-05-17 12:34:43,516 - Mouse moved to (3.65 cm, 11.80 cm)
2024-05-17 12:34:43,516 - Mouse moved to (3.76 cm, 11.88 cm)
2024-05-17 12:34:43,531 - Mouse moved to (3.81 cm, 11.93 cm)
2024-05-17 12:34:43,544 - Mouse moved to (3.89 cm, 11.99 cm)
2024-05-17 12:34:43,544 - Mouse moved to (4.00 cm, 12.04 cm)
2024-05-17 12:34:43,561 - Mouse moved to (4.07 cm, 12.06 cm)
2024-05-17 12:34:43,561 - Mouse moved to (4.13 cm, 12.06 cm)
2024-05-17 12:34:43,577 - Mouse moved to (4.18 cm, 12.12 cm)
2024-05-17 12:34:43,593 - Mouse moved to (4.21 cm, 12.12 cm)
2024-05-17 12:34:43,594 - Mouse moved to (4.26 cm, 12.14 cm)
2024-05-17 12:34:43,870 - Mouse moved to (4.31 cm, 12.14 cm)
2024-05-17 12:34:43,870 - Mouse moved to (4.39 cm, 12.14 cm)
2024-05-17 12:34:43,870 - Mouse moved to (4.47 cm, 12.14 cm)
2024-05-17 12:34:43,895 - Mouse moved to (4.63 cm, 12.12 cm)
2024-05-17 12:34:43,907 - Mouse moved to (4.87 cm, 12.09 cm)
2024-05-17 12:34:43,913 - Mouse moved to (5.08 cm, 12.09 cm)
2024-05-17 12:34:43,922 - Mouse moved to (5.34 cm, 12.04 cm)
2024-05-17 12:34:43,932 - Mouse moved to (5.61 cm, 12.04 cm)
2024-05-17 12:34:43,942 - Mouse moved to (5.90 cm, 12.01 cm)
2024-05-17 12:34:43,952 - Mouse moved to (6.11 cm, 12.01 cm)
2024-05-17 12:34:43,962 - Mouse moved to (6.32 cm, 12.01 cm)
2024-05-17 12:34:43,972 - Mouse moved to (6.48 cm, 12.01 cm)
2024-05-17 12:34:43,981 - Mouse moved to (6.61 cm, 12.01 cm)
